,Questions,"Responsible (0-Operator, 1-AI Agent)"
,Смс хабарнома ракамини йокатдим узгартирмокчи ман,0
,Охирги пул отказмамни чекини ташлаб беролисизми?,0
,Vertual karta yuklay disam qizil yozuv bilan humo status Pick up lost card digan yozuv shiqyapti,0
,Мен Узсаноатқурилишбанк иловасини юклаб олдим лекин пластик картамни ушбу иловага улаб бўлмаябди,0
,Кредит ID 25126012. Шу кредитни текшириб берсангиз. Эртага ту́лов куни деб смс келган лекин буни су́ндириш вакти хали келмаганди.,0
,ipotekababk kartasini qoshgandim kartadan kartaga pul otkazib bolmayabti karta malumotida xatolik deyabti,0
,Nimagarid kiriditim bu oy kam xisoblanibdi,0
,Ilovaga karta ornatolmayabman,0
,Meni kartamdan 470871.61 sum pul yechib olindi nimaga?,0
,Karta humo 3marta bankamatga tqdik keyin yutvordi blokdan cqarib beroliszmi,0
,Humo kartamni sms xizmatini yoqib bering,0
,Пластик картам блокланган деяпти нима учун экан,0
,Кредитимни кориб беринг,0
,Sms habarnomani qayta ulamoqciman,0
,Wertual master cardga pul otkazib bo'lmayapti IABS bilan muammo bor deyapti,0
,Kreditdan qarzdorlikni koʻrib bering,0
,Assalomu alaykum mani qanday kechiktirilgan kreditim bor tolaganidimku 28kun kechikibdi Shuni bilib berin,0
,Веза картамди улашда шунака муомма булябди,0
,Sqb mobile prilogeniyada viza karta chiqmayapti prilogeniyada,0
,Talim krdit olingan oshani malumotni jonatvorun,0
,2 kun oldin online ariza jonatdim keyin u tasdiqlanmaganligi sababli u arizani bekor qildim keyin hozir yana yangidan ariza topshirdim Shu haqida malumot bersangiz,0
,Adashib boshqa telefon nomerga pul tashabman qaytarib olsam bo'ladimi?,0
,Xozir boshqa bankdan kredit olmoqchi edim 344 sum sqbdan qardorlik chiqdi,0
,Кредиттим бор еди шу ой график чикмай турипти?,0
,03.03.2025 13:36 da pul otkazgandim Skrn shot qlib bolmayat Chek tashab bering,0
,Assalomu aleykum. Sirojiddin mani nomimga kredikt olingan. Kecha tuladim lekin megadir jadvalda 000 ko'rsatvotti,0
,март ойида карздорлигим борми йукми шуни билмохчимид,0
,Assalom aleykum ertaga talim kredit foizi yeciladigan kun man bugun tolab qoydm ertaga kartamdan yecb ketmidimi pul (Fayzullayev Muhammad Ali Fayzullo ogli) tekshiriz uchun ism familyam,0
,Assalamu alaikum Kartam ishlamayaptimi Pul otkazomayamman Uz card bilan boglanib bolmadi dgan narsa chiqvotti,0
,Карта олгандим Иловадан чикиб кетиб колдим Кандай тортиб олсам булади,0
,Менинг sqb 3 та кридитим бор шуларнинг бу ойги колган каризини хисоблаб берсанггиз иложи буса id билан ёзинг,0
,"Mani nomimga ochilga virtual karta kopayib ketibdi ish haqi kartasi ochilmayapti. Nomimda 20 tadan ko'p karta ochilib ketipti, ochirib berolasmi?",0
,Bu oyda qancha kredit tolshim kerak va har oy qancha kredit tolashim kerak?,0
,Bu oy uchun menni kiriditdan qarzim bormi yoki yo?,0
,"Kartamdan ertalab soat 5 da pul yechilgan, Kim yechkan?",0
,Man kredit oludim 15mln shunga 6oy izmyoz diyludi Shuni qando qb 6 oy davomda 6oy imtiyoz bln tolab yursam.boladi ? Qancha toladim qancha qoldi shuni qando korsam bolad? Kuniga qancha penya ?,0
,"Men kirdid olmoqchi idem, menda qanca kirdidm bor?",0
,Kredit dan qancha qarzim qoldi?,0
,"Sqb dan wunaqa sms kevoti, nega wunaqa sms kevoti?",0
,"Tashqi savdo kontraktlarimiz bo'yicha ma'lumot olmoqchi edim. Muddati o'tgan debitor qarzdorligimiz bor ekan, yordam berolasmi? .",0
,"Aktiv bulmadi kartam, nima qilsam buladi?",0
,"sms habarnoma ulashim kerada kartamga humo edi, ulab berolasmi?",0
,"Menga kartamning tranzit raqami va bank mfo si kerak edi, bilib berolasmi ?",0
,Assalomu alaykum men Lazizjon Muxiddinov man men xozir mikroqarzga ariza topshirgan edim kafil tasdiqlagan edi qachon javobi chiqadi qanday bilsam bôladi mikroqarz maqullanganligini yoki rad etilganini?,0
,"Asalomu alaykum man joyida ilovasidan foydalanib yuraman nimaga dur aperatir qariziz bor diyshvoti, nimaga?",0
,"50 млн. Микрокарз олмокчи эдим, мобил иловадан 3 шахс кафиллигини киритдим. У шахсни тасдиклаши кутиляпти деб ёзув чикди? Лекин, унга канака куринишда боради у тасдиклаш учун, Смс хам бормаяпти и уни иловасида хам куринмаяпти хеч нарса?",0
,"Ока ман хози Турциядаман карталрм блок бб коган, шуни нмадр клб ишлатши иложи борми?",0
,"Mani joyida ilovasidagi kredtim korib berin, qarizdorlik yoqmi?",0
,"Киридит олгандим жавоб келмади, качон келади?",0
,Mobil ilovaga HUMO kartamni bog'lab berolasmi?,0
,"70 ming foizni yechishni bostin, lekin menga kelp tushamadi, qayerga tushadi?",0
,humo kartaga sms informatsiya yoqib berolasizmi?,0
,Mobil ilovaga HUMO kartamni bog'lab berolasmi?,0
,"Кеча кассовый аппарат учун иловадан пул утказгандим . уларни счетида куринмабди, курибероласми?",0
,Sqb ilovasidan mikroqarz olishga ariza yuborgandim rad etildi deyabdi nima uchun bilish mumkinmi?,0
,Asalomu alaykum man joyida ilovasidan foydalanib yuraman nimaga dur aperatir qariziz bor diyshvoti shuni xal qiberolisizmi?,0
,Paynet kompanyadegila kartezda muammo bor diyishdi kecha kegn silarga tel qildim blok qlinmagan didila yana qanaqadur moammo bormi kartamda shuni bilib berolasmi?,0
,"Pul utqzmoqcvi bulsam sms kelmayapdi, nima qilsam boladi ?",0
,"Men omonatdan pul yechdim yechildi lekin kartamga tushmadi, qachon tushadi?",0
,"Банкдан берилган виза картам бошқа рақамимда экан иловада кўринмаяпти, узгартириб бероласилами?",0
,SQB ilovasiga ulanalmayafman yordam berolaslami?,0
,"Men adashib 2 Marta pul tashlab yubordim, qaytarsa boladimi?",0
,Assalomu alaykum yaxshimisiz kredit qarzdorligim qancha?,0
,"Omonat foizlari plastigimga tushmayabdi, qachon tushadi?",0
,"Ko'p,miqdorda olmoqchidim , lekin,rad etilyapti sababi,oylik kamligimi?",0
,"Manashu hisob raqamiga chet eldan pul tushishi kerak edi, tushgan tushmaganini qanday bilsam bo'ladi?",0
,kreditga arizani korib chiqolasizmi?,0
,qarizdorligim bormi yom?,0
,Mikrozaymmi tasdiq yoki atkazligini qattan bilsa boʻladi?,0
,kredit qarzdorligim qancha?,0
,Assalom alekum sqbdan yangi uzkard karta oludim bankmatda borib sms xabar ochmoqchidim amalga oshmadi deb chek chiqazib berdi kartam ishlavotimi?,0
,"Meni kartam ilovaga ulanmayabdi kreditim bor edi bugun toʻlov qiliwin kerak, oldin ulangandi hozir kirsam ilova chiqazib tawlabdi, nimaga bunday boʻlyabdi",0
,Plastik kartamni ilovaga nega ulab bolmayapti,0
,nega mikrokredit olib bulmyapti,0
,kreditga ariza topshirsam nega javob kelmayapti,0
,Men mikroqarzga ariza bergandim qanday qilib natijasini bilsam bo‘ladi,0
,Kredit olmoqchi edim javobi kelmayaptiku,0
,Nima boʻldi,0
,Kartamga pul tushganda yoki yechib olinganda SQB mobile ilovasidan xabar kelmayabdi shuni toʻgʻirlashni imkoni bormi?,0
,SQB bankomatdan pul yechgandim. Kartadan yechib oldi lekin naqd pul chiqmadi,0
,Joyda omanatimni tekshirib bering,0
,"Men joydaga jozibali omonatini qoyivdim. Joydani blogini xato terib qoydim 2. Marta qaytadan tel raqam kiritib ochdim, Endi ichida xumoni korsatdi viza kartamni korsatmayapdi. Omonatimni xam korsatmayabdi",0
,Menga Exness brokeridan 41$ pul tushishi kerak edi kartamaga lekin sómda 339 ming sóm tushgan. Shunga aniqlik kiritib bering iltimos,0
,Assalomu aleykum Men kiriditlarim haqida malumot olmoqchiman Qaysi kriditimdan qancha qarzim bor,0
,250 ming ushladi sal avval qaysinisiga ushladi,0
,"Сугурта мукофотини кайтаришда, полис серияси ва полис ракамини кандай аниклаштирсам булади",0
,MASTERCARD ga hech qanaqa kartadan pul utkizib bumiyaptu,0
,"Mikro qarz, Belgilab otiim, Keyingisi bosilmadi",0
,Ariza tayormi chunda,0
,Ha dedimi yoq dedimi,0
,Aka bankga shu muommo buliyapdi pasport tug'ri malumotlari,0
,Visa kartam minus bop qoldi,0
,"ilovadagi telefon raqamni ozgartirmoqchi man,kredit olib qoyipmanqu unda nima boladi, omonat ham ochilgan",0
,Humo karta smsga ulash kerak,0
,"Kiridit almaqshi edim, Kapil tadiqladi lekin men savat shaga kira almay epman",0
,Savatshaga kirmay apti Arizamni dabam etrish Nim qilsa Boladi,0
,"Otim, Korip berasiz mi",0
,Ariza tastalgan ba soni bilmekshi min,0
,"Mikroqarz berilmadi , Nimaga",0
,Ассаламу Алайкум Яхшими Сиз Акажон Банкамадан Пул Утказдим Картамга Утмади Ва Пулни кайтариб Бермади,0
,"Mani visa kartam minus bop qobdi, Shu nimadan bilmayapman",0
,Shunda minus yo boladimi ?,0
,"Meni bugun kartamdan Taashlagan pul haliyam tushmadi, Qayerga ketgan",0
,"Pul tushgani kelmadi, Lkn pul yechilgan, Shuni koʻrib bering",0
,Yechilgan pul yechilgan vaqtida koʻrsatmayapti programmada toʻgʻirlab bering,0
,"Nimaga programmada koʻrsatyapti yechilgan boʻlib, Yaxshi ishlamayapti",0
,"Yechilgan pul yechilgan vaqtida korsatmayapti, Ham menda 5ming bilan 3ming yechilgan devotti, Hozir 628ming yechilgan vaqtida korsatmadi, Pul tushgani programmadabkorsatmayapti, Iltimos toʻgʻirlab beringla",0
,"Yaxshi ishlamayapti monitoring, togirkab beringla",0
,Temudan pulimni qaytarib olish,0
,Temudan qaytarildi moliyaviy muassasangizga murojat qiling deyilgan,0
,Sqb call centerga murojat qilganimda scrinshot tashang pulingizni tashlab beramiz dediky,0
,Sizga tashlagan mediam koʻrinyaptimi,0
,"Sizga tashlagan mediam koʻrinyaptimi, Moliyaviy muassasa bilan bogʻlan deyapti, Moliyaviy muassasangizga oʻtkazib berildi deyapti",0
,"Boya sanoat qurilish bank operatori bn telefonda gaplashgandim, U MENGA PULLARINGIZNI TASHLAB BERAMIZ, TEMU TOMONIDAN QAYTARILGANLIK HAQIDAGI HUJJATNI TASHLANG DEDIKU",0
,Охирги пул отказмамни чекини ташлаб беролисизми?,0
,Xop rahmat oka yana savol bor edi mumkin mi,0
,Vertual karta yuklay disam qizil yozuv bilan humo status Pick up lost card digan yozuv shiqyapti,0
,Мен Узсаноатқурилишбанк иловасини юклаб олдим лекин пластик картамни ушбу иловага улаб бўлмаябди,0
,"Шунака ёзябди тепасида, Кайси фелял булсахам буладими",0
,Кредит ID 25126012. Шу кредитни текшириб берсангиз. Эртага ту́лов куни деб смс келган лекин буни су́ндириш вакти хали келмаганди.,0
,"sqb mobileda, ipotekababk kartasini qoshgandim kartadan kartaga pul otkazib bolmayabti, karta malumotida xatolik deyabti",0
,"ushnu otkazmaning квитанцияси cheki kerak edi ilovada chiqarmayabdi ismlarni, исм фамилияси курирган чеки буладику щуни олиб берсангиз",0
,"Men master kartamni yoptirmoqchiman , mendan olingan 5 $ ni qaytarib master kartamni yopib bering",0
,Joyida ilovasi orqali humo kartam bloklangan shuni ochib bersangiz,0
,"9857, Ochildimi, Blokirovkadan",0
,"Assalom kartamdan avtopagrasheniya deb pul yechilibdi, Nega unday boldi",0
,"Tushunturib bering, Nima u ozi, Nega yechildi pul",0
,Qande kredit malumot berolaszmi,0
,"Kridit olishda muamo bolmoqda, Shunga yoradam bera olasizmi",0
,"So'ndirish grafigida hato ketyapti nimaga, Qanday tushintirip bering",0
,Kurip bermasangizlar partalga shikoyat qilaman shu masala bo'yicha,0
,"Pragrama nimaga xato ko'rsatadi, Shikoyat arizasi bilan partalga chiqaman",0
,"Aka menda sql ilovasi buyicha savolim bor, Xullas kreditga ariza topshirdim qabul qilinganini qayerdan bilsam boʻladi ilovada topa olmayabman, Yordam bera olasizmi",0
,Kartadagi balansimni bilmoqchi edim,0
,"Нима муаммо буляпти, Карта бошка иловада ишлаяптику",0
,"Qarzdorligim bormi , Sqb dan, Bilib bering, 200 sommi qolibdida",0
,Otgan oydagichi,0
,Otgan oyda qanca qolgani korinmidimi,0
,Assalomu alaykum Karta raqamimni 20 talik tranzit raqami va Mfo raqami kerak,0
,картамдан 800минча атрови пул йук,0
,"Boyagi kartani puli koʻrindi, Endi qanday olsa bularkin",0
,Joydadan krdit ogaman tekshrb berin,0
,"Sdan oldingi aperatr qarzi bor dudi, Uwani tuwmiyaman 5302 dganla bu 5 milonga 302 masmi",0
,Kredit toʻlovini bilmoqchi edim qancha toʻlashim kerak bugungi kunga qadar,0
,салам алейкум мени крдит аризам качон кориб чклади,0
,"жума куни ариза колдурувдим, лекин хали хам жавоби келмади",0
,"Ismim Tolib, sqb ilovasi orqali kredit olganman, shu kreditni so’ndirish jadvali bilan bog’liq tushunmovchiliklar kelib chiqmoqda",0
,"Shotimdan pul yechildi, Kimga murojat qilay",0
,Mening xisobimdan pul yechildi,0
,Xakkerlar tomonidan pulim yechildi,0
,Kartamiyam qoshomayamman,0
,"Hop nimaga pul otqizomayaman, Karta ne naydena divotti, Boshqa ilovalada chiqvotti",0
,"Aktiv holatta karta, Man tashadimu clikda ishlab turibti",0
,Man sizga qanaqa qilib isbotlab bersam boladi karta aktiv holattaligini,0
,Nima tashab beri qanaqa skrin shot kere,0
,Silada muammo,0
,Омонат март ойи учун тушмади,0
,"Пластик картани қушиб булмаяпди, Нбу банкники",0
,"Қушган эдим лекин чиқиб кетибди, сабабини билмадим",0
,"Shoxruh aka MyIdan roʻyxatdan otdim, Kartani blokdan chiqarish kerak edi",0
,Картани ишга туширишим учун эски номеримга смс кетвоти шунга 91 001 6723 шу номеримми улаб берила картага,0
,"Plastik yuqolgan sabab kodlangan edi shu sabab yangi ochdirgan edim endi usha eskidagi pulni yangiga oʻtqazish kerak, Eskini blokdan ochish kerak",0
,Nomerim bilan kirganman sqb programmasiga va identifikatsiyadan otsam doim nimadir xato deyapti,0
,"Assalom aleykum menga sms oldin kartga ulagn u kuyib ketgan, Xozir yangi raqam qoshish kerak",0
,"Ер солиги ва мулк солига пул тулаб булмаяпти, Иловадан, Ишдавоттими узи",0
,"Шунака нарса чиквотти, Куриб берила",0
,Virtual karta ga ariza tashlagan edim ochilmayapti,0
,Virtual karta ochildi degan sms kelmayapti,0
,"Kartani onlayn bilsa boʻladiku, Silarga kurinadiku",0
,"Mani nomimda nechta plastik bor, Shuni ayting",0
,"Hozir gaplashdimku,Yaxshiroq qaren iltimos",0
,"Assalomu alaykum, Mani kartamm bloklanib qoldi, Man oʻzim pul yechish un sqb ilova orqali bloklagandim",0
,Картани қаерда очилганини билиб бероласизми?,0
,Виза ишхона томондан берилган,0
,Mani kridit bor ushani korib berin,0
,"Asalomalekom kredit ogandim qancha qarzim borligini blberolismi, Bugun iwhona hisobidanam yechilgan",0
,"Hozir muddati otgan qarzdorligim bormi, Bu summa yechilgandan keyin",0
,Kreditlarim qancha qolganini bila olmayapman,0
,"Bu 3.5 mln lik kreditim toliq tolashga bossam shunday deyapti, Bu degani bu yopilganmi?",0
,уз карт пластигимдан пул ташувдим нарги пластик тушмади,0
,"Bankka borishga vaqtim yuqda, shuning uchun onlayn olayapman. Kurib beringlar.",0
,Kredit olishga ariza bergandim shuni natijasi haligacha chiqqani yuq,0
,Men mikroqarzga ariza bergandim qanday qilib natijasini bilsam bo‘ladi,0
,Mikroqarzga ariza topshirgandim javobini bilib bering,0
,"Кередитими толамокчи эди , шу 4 та кредитим бор шулани йопиш учун шу кунгача нечи пул ташаштм кере",0
,"Кредит бойча йордам керак, Бермайапит кредит нимага",0
,Mobil ilovada bank kartam korinmayapdi,0
,Shunaqa yozuv chiqayapti nima qilish kerak,0
,assalomu aleykum menga kartam tarixi kerak edi 24 -mart kungi soat 21:51 daqiqa otkanda amalga oshirilgan otkazmaniki,0
,Menga karta berishdi va ilovani ochib kartani faollashtirishim aytildi ammo kartani faollashtirish uchun kod sms kelmayapti,0
,"Qaren man siladan ozini band qilsh 15 milyonlik kridit oluvdim, Shuni oʻtkan oʻynikini oshiqcha toʻlgandim lekin man Toʻlagan summa Hisoblangan db boshqa suma korsatvoti, Koʻrib chiqib berin",0
,"Qaren shu oʻtkan oyikini, Nega hisoblanmagan",0
,Hozir manga tushuntirib bering bu oyikini qancha toʻlashim kerey,0
,Bu oyga 200.000 min toʻlov qisam boldiya manimcha torimi,0
,Shu malumotni koʻrib berin iltimos,0
,Пластигими инн реквизит ракамлари кере,0
,"Plastik kartaga, Bloklanganmi yo",0
,Keyin yana bita yordam kk edi plastik karta Aval boshqa sm kartaga edi u ochdi endi boshqa sm kartaga ulash kk,0
,"yana schyotini ko'ring, qancha pul bor, ilovadan ko'rinmas ekan",0
,"491ming to'lagandimku grafik uchun, u ham osnovnoy dolgga ketganmi shunda?",0
,"to'ladim, yopildimi?",0
,"sugurta polis raqamini bilib bering iltimos shu kreditimni sugurtani yopish uchun malumotlarni ham iltimos, sqb insurance edi straxovka qilgan",0
,Assalomu alaykum mening kartam ilovada chiqmayapti. O'tkazmalar qila olmayapman qayta qo'shib ham ko'rdim qo'shib bo'lmaydi degan yozuv chiqdi. O'tkazma qilib ko'rsam O'tkazma qilib bo'lmaydi degan yozuv chiqmoqda. Nima qilsam bo'ladi?,0
,Lekin manda bu holat kechadan beri bolmoqda,0
,"Kredit arzia qoldirgan edim, Hali ham javobi kelmadi",0
,Mikrokreditga zayavka berodim shuni koriberolasizmi otkan otmaganligini,0
,"Жойдани янгиланг дейверади, Жойдани янгилашни имкони юк",0
,5614681606541310 Kartani 1180 da muzlatganman kartani ochtirmoqchiman,0
,"Virtual qartani yopishga ariza berganman, Nima boldi",0
,Man mikro qarz olgandim mudatidan oldim yoptim sug'urta pulini qandey qaytarsam buladi,0
,Master card korinmayapt qosholmayapman uzcard ishlayapti,0
,Virtual karta ochgandim shuni mobil ilovomga ulay olmayapman,0
,Sqb ga kartamni uladim lekin virtual karta ulanmayapti shunga yordam bering,0
,SQB BANK KARTAMDAN PUL YECHIB OLINDI,0
,QAYSI KREDITGA TOLANDI,0
,Shu holatda nima qilishim kerak?,0
,Assalomu alaykum men kartamdan pul òtkazmoqchi edim òtkazib bòlmayapti,0
,Aka kartamni ilovadan bloklab qoʻygandim ochilmayapti,0
,Xozir blokdan ochsam boʻladimi,0
,Xozir kartadan kartaga pul otkazma qildm mendan pulni qirqib oldi unga pul tushmadi. koʻrib bera olasizmi,0
,Омонатдан янги картамга пул утказа олмаяпман,0
,Mikroqarz ga topshorgandik kecha. Haliyam xabar kemadi. Tekshirib berolismi,0
,Məni kartamdan pul yecilib ketkan usha haqida malimod berishingzni suraymn,0
,Plastik kartamning muddati o'tgan edi ichida Puli bor edi. Shu pullarni boshqa sqb Ning visa kartasiga ôtkazmoqchi edim,0
,Meni akauntimga kimdir ulandi deb sms keldi. Qanday ulanishi mumkin,0
,"Ассалому алейкум! Мани март ойига кредит хисоб ракамга пул отказдм, 3 та кредитимга етадими толаган маблаг?",0
,"Ровна 5.000 мин сом толаб койсам, етарли боладими?",0
,28.02.2025 sanasida plastik kartamdan pul òtib ketgan boshqa kartaga karta raqami yoki egasi haqida malumot ololmayapman. Monitoringa faqat p2p deb turbibdi,0
,Онлайн қандо оса бўлади ака. Аризаггиз кўриб чиқилмоқда деган ёзувдан уйоғига ўтмаяпти,0
,Assalomu alaykum kredit qarzdorligim qancha,0
,Kredit asosiy summa qancha qoladi,0
,Menda kreditni oldindan sòndirish bòlimi ishlamayapti keyin oylik tòlovim grafikdagidan kop korsatyapti,0
,SQB дән кридит олгандим шуни сунгги туловаимни амалга оширмокчиман,0
,Assalom aleykum omonatdan olingan foiz summasini yechib olsa qaysi hisob raqamga tushadi man foizini oʻzini yechib koʻrgan edim hech qanday karta soʻramadi ammo yechildi manga pul tushmad,0
,SQB mobile ilovasidan mikroqarz rasmiylashtiruvdim. Tasdiqlandi dib chiqdi lekin hali pul bermadi?,0
,Mandaa visa platinium bor hozrgi kunda uni toldirmoqchi edim lekn sqb mobile ilovasi orqali toldirib bomayapti qandaydir qizil yozuv chqib oshibka bervoti,0
,Assalom aleykum. Kecha kartamga 1506000 so'm pul tushgan edi shundan kriditlarimga o'tkazdim magazinlarga pul o'tgazdim. Shundan tashqari 300mingdan oshiqroq pul qolishi kerak edi shuni qayerga ketganini bilolmayapman,0
,Kafil tasdiqladi. Likin davom ettirolmayapman,0
,Картамнинг ракамлари учиб кетган.карта ракамимни кандай билсам булади. Ёрдам бера оласизларми,0
,Nma boldi blokdan chiqazb bera olaszmi nmaga bloka tushgan kartam,0
,Pul oʻtkazgandim chekini olib bumadi,0
,AssalamuAlekum kredit omaqwi edim ariza topwirgandim jovob yoq,0
,мени картам sqb mobil иловасига уланиб булмаяпти шунга ёрдам берсангиз,0
,Шу ариза жавобини качон оламан?,0
,Kecha yandex chaqirdm. Bekor qildim kelmasidan. Pul yechib olindi. Hali ham tushmadi. Yandexga aytsam bankga murojat qiling dedi,0
,Assalomu alekum kredit tolodm sondrsh grafigida tolangani kormayapt man mudati otkan qarzm qanchalign korberolism ?,0
,"Азизбек ака менга 20.02.2025 учун выписка керак кирим чик,имларники. Пдф форматида илтимос",0
,Kartani holati sizda körinadimi,0
,Mandan kridit kop yechip olingan,0
,Kreditni muddatidan oldin tulagandim sugurta polosini qaytarmoqchifim,0
,На маю карту перестали начислять проценты,0
,Иш ҳақига карта очирган эдим visa карта ҳам қўшиб беришди. Ҳисобини кўрсам -64899 сўм қарз кўрсатяпти. Буни нима қилиш керак?,0
,Assalomu alaykum yaxshimisiz kredit qarzdorligim qancha,0
,Oka men kredit olishga ariza yuborgandim. Nega uni javobini ham kreditim holatini ham kurolmayapman,0
,Kartadan kartaga pul o’tkazib bo’lmayapdi.uzkartdan visaga.SQB nikidan,0
,"Кредит холатимни хозир айтиб бероласизми?, Хозирда канча карзим борлигини хам куриб берсангиз илтимос,Охирги тулов ва хозирда мавжуд карздорлигимни куриб бероласизми?",0
,Assalomu alaykum meni ismim Roʻziyev Jahongir 01.01.2025 kreditdan toʻlovim qoldimi yoʻqmi bilib bera olasizmi,0
,"Kredit qancha tòlawim kerak,Qancha qarzdorlik bor",0
,Boshqalarga oylik tushib menga nima uchun tushmaganini bilsam buladimi Siz kurib berilmaysizmi,0
,"Ассалом алейкум. Иловадан микрозаймга ариза колдиргандим. Озидан ози йок боа колди. Отказам бомади,одобренам бомади.",0
,Fevral oyi uchun kredit qancha tòlawim kerak,0
,kreditga ariza bergandim javob kelmayabdi,0
,SQB ilovasi orqali xalqaro oʻtkazma qila olmayapman. Oʻtkazish tugmasini bossam kod kelyaptida birozdan soʻng vazvrat boʻlyapti,0
,"Dinara, menga master cardga pul kelgan bo'lishi kk,Ko'rib bera olasizmi?",0
,"ishxonadan visa karta berishdi, sqb ilovasida ko'rinmayabdi",0
,"Мен кредитга ариза калдиргандим, Жавоби келмайапти",0
,Мени завкамни куриб беринг,0
,Humo kartamga SMS ulashim kerak,0
,Assalomu aleykum men kridit olmoqchi bo'lib ariza qoldirdim 15 minutdang‘oshdi javibi kelmayatti,0
,Мени номимда карта очилган экан бундан мени хабарим йук шуни текшириб берсангиз илтимос,0
,"Man ilovadan ariza qoldirgandm,2kun boldi haliyam tasdiqlanmadi",0
,"Мени кредит картам ишламаябти,Накд пул ечолмаябман,Пул хам тулолмаябман",0
,Men oylik maoshim kech tushganligi sababli SQB kredit kartasiga kreditimni kechiktirib kecha toladim lekin bugun menga robot operator qongiroq qilib qarzimni tolashimni aytdi. Iltimos shuni korib berolasizmi,0
,"Omonat Jozibali 22$ foizini yechib olgandim. Muvaffaqqiyatli yechildi deyildi, lekin mablaģ kartaga tushmadi.",0
,"Assalomu alaykum, men Joyda ilovasi orqali 19.03.2024 da to'lov qilgan edim. kontraktga. shu to'lov chekini olishni iloji bulmayabdi,yuklab olishni bosdim. 1 kb narsa yuklanyabdi uni ochib bumas ekan.",0
,"3.300 000 сум кредит тулашим керак бугун ойлик тушади дейишяпди санег га шуни текшириб беринг илтимос кредит SQB дан олинган,Иш хаки буйича реестр бердими билиб беринг илтимос",0
,Assalomu alaykum humo kartaga ulangan raqamni ozgartirmoqchiman,0
,Humo kartani oludib nomerga ulomayaman,0
,Assalomu alaykum yaxshimisizlar 05.07.2024. 05.08.2024. 05.09.2024. 05.10.2024 Shu sanalarda to'lov qilgandim Plastigimdan shuni chekinish chiqarib berolasizmi,0
,"Kredit olgan edim,Hoyir tõliq tôlov qilgandim qarzim yopiladimi,Bilib bering iltimos",0
,Shunga yordam bering Matlyuba opa,0
,"""Транзакционный счет""ni bilib yozvorin",0
,Assalom alaykum Bank telefon raqami: Bank nomi: Bank STIRi: Bank manzili:Filial nomi:Filial ko’di (MFO):Bank hisob raqami:Bank hisob raqami egasi:UZcard yoki Humo card raqami:Shu maʼlumotlar kerak edi,0
,"Visa platinum zakaz qilgan edim,Visa platinum zakaz qilgan edim",0
,"Kridetga ariza berudim javobi chiqmadi,Bugun 1soatla buldi manimcha 15daqiqada javobi chiqadi db kurastudi",0
,"Assalomu alekum. Men sqb ilovasi orqali qo'ygan omonatimdan hisoblanga foizlarni yechib oldim. Lekin u pul kartamga tushmagan. U summa qayerga yo'naltirilgan?,Qanday qilib o'tkazishim mumkin?,Tushunarli rahmat. Faqat sqb kartasiga o'zkazishim mumkinmi yoki boshqa bank kartasigaham?",0
,Пиластигимни тел оркали кодлатгандим шуни очиб беринг,0
